service_id,date,exception_type
021008F_02101_,20260628,1
021008F_02102_,20260628,1
021008F_02103_,20260628,1
021008F_02104_,20260628,1
021008F_02105_,20260628,1
021008F_02106_,20260628,1
021008F_02107_,20260628,1
021008F_02108_,20260628,1
021008F_021E1_,20260628,1
021008L_02101_,20260623,1
021008L_02101_,20260624,1
021008L_02101_,20260625,1
021008L_02101_,20260626,1
021008L_02101_,20260629,1
021008L_02101_,20260630,1
021008L_02102_,20260623,1
021008L_02102_,20260624,1
021008L_02102_,20260625,1
021008L_02102_,20260626,1
021008L_02102_,20260629,1
021008L_02102_,20260630,1
021008L_02103_,20260623,1
021008L_02103_,20260624,1
021008L_02103_,20260625,1
021008L_02103_,20260626,1
021008L_02103_,20260629,1
021008L_02103_,20260630,1
021008L_02104_,20260623,1
021008L_02104_,20260624,1
021008L_02104_,20260625,1
021008L_02104_,20260626,1
021008L_02104_,20260629,1
021008L_02104_,20260630,1
021008L_02105_,20260623,1
021008L_02105_,20260624,1
021008L_02105_,20260625,1
021008L_02105_,20260626,1
021008L_02105_,20260629,1
021008L_02105_,20260630,1
021008L_02106_,20260623,1
021008L_02106_,20260624,1
021008L_02106_,20260625,1
021008L_02106_,20260626,1
021008L_02106_,20260629,1
021008L_02106_,20260630,1
021008L_02107_,20260623,1
021008L_02107_,20260624,1
021008L_02107_,20260625,1
021008L_02107_,20260626,1
021008L_02107_,20260629,1
021008L_02107_,20260630,1
021008L_02108_,20260623,1
021008L_02108_,20260624,1
021008L_02108_,20260625,1
021008L_02108_,20260626,1
021008L_02108_,20260629,1
021008L_02108_,20260630,1
021008L_02109_,20260623,1
021008L_02109_,20260624,1
021008L_02109_,20260625,1
021008L_02109_,20260626,1
021008L_02109_,20260629,1
021008L_02109_,20260630,1
021008L_02110_,20260623,1
021008L_02110_,20260624,1
021008L_02110_,20260625,1
021008L_02110_,20260626,1
021008L_02110_,20260629,1
021008L_02110_,20260630,1
021008L_02111_,20260623,1
021008L_02111_,20260624,1
021008L_02111_,20260625,1
021008L_02111_,20260626,1
021008L_02111_,20260629,1
021008L_02111_,20260630,1
021008L_02112_,20260623,1
021008L_02112_,20260624,1
021008L_02112_,20260625,1
021008L_02112_,20260626,1
021008L_02112_,20260629,1
021008L_02112_,20260630,1
021008L_02113_,20260623,1
021008L_02113_,20260624,1
021008L_02113_,20260625,1
021008L_02113_,20260626,1
021008L_02113_,20260629,1
021008L_02113_,20260630,1
021008L_02114_,20260623,1
021008L_02114_,20260624,1
021008L_02114_,20260625,1
021008L_02114_,20260626,1
021008L_02114_,20260629,1
021008L_02114_,20260630,1
021008L_02115_,20260623,1
021008L_02115_,20260624,1
021008L_02115_,20260625,1
021008L_02115_,20260626,1
021008L_02115_,20260629,1
021008L_02115_,20260630,1
021008S_02101_,20260627,1
021008S_02102_,20260627,1
021008S_02103_,20260627,1
021008S_02104_,20260627,1
021008S_02105_,20260627,1
021008S_02106_,20260627,1
021008S_02107_,20260627,1
021008S_02108_,20260627,1
021008S_021E1_,20260627,1
021704L_02101_,20260701,1
021704L_02101_,20260702,1
021704L_02101_,20260703,1
021704L_02101_,20260706,1
021704L_02101_,20260707,1
021704L_02102_,20260701,1
021704L_02102_,20260702,1
021704L_02102_,20260703,1
021704L_02102_,20260706,1
021704L_02102_,20260707,1
021704L_02103_,20260701,1
021704L_02103_,20260702,1
021704L_02103_,20260703,1
021704L_02103_,20260706,1
021704L_02103_,20260707,1
021704L_02104_,20260701,1
021704L_02104_,20260702,1
021704L_02104_,20260703,1
021704L_02104_,20260706,1
021704L_02104_,20260707,1
021704L_02105_,20260701,1
021704L_02105_,20260702,1
021704L_02105_,20260703,1
021704L_02105_,20260706,1
021704L_02105_,20260707,1
021704L_02106_,20260701,1
021704L_02106_,20260702,1
021704L_02106_,20260703,1
021704L_02106_,20260706,1
021704L_02106_,20260707,1
021704L_02107_,20260701,1
021704L_02107_,20260702,1
021704L_02107_,20260703,1
021704L_02107_,20260706,1
021704L_02107_,20260707,1
021704L_02108_,20260701,1
021704L_02108_,20260702,1
021704L_02108_,20260703,1
021704L_02108_,20260706,1
021704L_02108_,20260707,1
021704L_02109_,20260701,1
021704L_02109_,20260702,1
021704L_02109_,20260703,1
021704L_02109_,20260706,1
021704L_02109_,20260707,1
021704L_02110_,20260701,1
021704L_02110_,20260702,1
021704L_02110_,20260703,1
021704L_02110_,20260706,1
021704L_02110_,20260707,1
021704L_02111_,20260701,1
021704L_02111_,20260702,1
021704L_02111_,20260703,1
021704L_02111_,20260706,1
021704L_02111_,20260707,1
021704L_02112_,20260701,1
021704L_02112_,20260702,1
021704L_02112_,20260703,1
021704L_02112_,20260706,1
021704L_02112_,20260707,1
021704L_02113_,20260701,1
021704L_02113_,20260702,1
021704L_02113_,20260703,1
021704L_02113_,20260706,1
021704L_02113_,20260707,1
021704L_02114_,20260701,1
021704L_02114_,20260702,1
021704L_02114_,20260703,1
021704L_02114_,20260706,1
021704L_02114_,20260707,1
021704L_021E1_,20260701,1
021704L_021E1_,20260702,1
021704L_021E1_,20260703,1
021704L_021E1_,20260706,1
021704L_021E1_,20260707,1
021704L_021E2_,20260701,1
021704L_021E2_,20260702,1
021704L_021E2_,20260703,1
021704L_021E2_,20260706,1
021704L_021E2_,20260707,1
021724F_02101_,20260705,1
021724F_02102_,20260705,1
021724F_02103_,20260705,1
021724F_02104_,20260705,1
021724F_02105_,20260705,1
021724F_021E1_,20260705,1
021724F_021E2_,20260705,1
021724S_02101_,20260704,1
021724S_02102_,20260704,1
021724S_02103_,20260704,1
021724S_02104_,20260704,1
021724S_02105_,20260704,1
021724S_02106_,20260704,1
